label,sentence
1,クリエイターと読者が創るソーシャル時代の電子書籍サービス「Yomuca」
2,韓国で最高視聴率を記録したドラマが、韓国家庭料理とタイアップ
2,ジョニデ＆バートン監督が贈る“フツー”じゃないファミリーとは？
2,女子高生シンガーのKyleeが「美人映写技師との恋」を描いた映画の主題歌担当に
2,レオ様が老人に？　監督でさえ気付かなかった姿を公開
2,【プレゼント】1番悪いヤツは誰なのか、北野武監督最新作『アウトレイジ ビヨンド』試写会にご招待
1,微妙な知り合いからの友達申請に有効なFacebookワザ【知っ得！虎の巻】
0,ゲレンデでもう恋は生まれない？ 独女世代のスキー場離れ
2,女だらけの地球防衛隊「チームＵ」にAKB48選抜メンバーが就任
2,FBI 最後の望みは“天才犯罪者”
0,スイーツ番長とフードコーディーネーターが推奨！「スイーツをより楽しむコツは、“ウーロン茶で口の中の油をリセット”すること」
0,大人女子がスカートの下に秘めるべきものとは？
1,DL罰則化の動きが気になる！　ネットで盛り上がった話題を振り返る【ITフラッシュバック】
1,AKB48の広告が動き出す HPのAR広告キャンペーン【デジ通】
0,女の本音全開！「彼氏にドン引きした○○な瞬間」
0,現役ホステスに聞く、一番人気のホステスとは？
0,【オトナ女子のリアルな悩み】別れた不倫相手から復縁を迫られています
2,城田優の宝物は、片瀬那奈「上から下まで全部」
2,壮大な世界観と魅力的なキャラクター、『ジョン・カーター』特別映像を先行公開
2,沢尻エリカ、真紅のドレスで脚線美を披露
1,あと40cm高い津波で原発事故？孫社長が明かした東海村の怖い話
2,"ミラ・ジョヴォヴィッチVS中島美嘉！『バイオハザードV』の“死闘”映像に6,000人が熱狂"
1,定番スキャナがiPhone＆スマホに対応！　iPhoneやAndroidからスキャンできるScanSnap登場
2,『アリス・イン・ワンダーランド』スタッフ最新作は、“戦う”白雪姫
1,ネットがなくても動画がスイスイ見られるスグレモノ【iPhoneでチャンスを掴め】
2,脚本にセリフなし？恋人同士のある1日を“即興”で描く新感覚の注目映画
0,正しい知識と理解を！ ブライダルチェック
0,乾燥する季節、妄想女子の乾いた心を潤すオトコたち
2,ロングラン上映なるか？　『猿の惑星』が好発進
2,【DVDエンター！】倉科カナが“セイシをかけた”日韓バトルに挑む
1,検出率9割超はごくわずか！Android用アンチウイルスソフトの比較テスト 【役立つセキュリティ】
1,英単語をイメージ化して覚える！全単語イラスト付きのワードスケッチTOEICテスト【iPhoneでチャンスを掴め】
0,【オトナ女子映画部】“友達”と“恋人”の境目はどこにある？『ステイ・フレンズ』
0,なぜ女性は30代になるとお酒が好きになるのか？
1,お気に入り写真がアイコンに！　写真フォルダー分類術【知っ得！虎の巻】
1,プレゼンのジェスチャーの参考に！ AMD CEOのパワフルなプレゼンテクニック【デジ通】
2,「報道カメラマンは法を犯してもかまわない」“ニッポンの嘘”が暴かれる
2,AKB48派生ユニット『渡り廊下走り隊』、再び監禁
1,3姉妹の成長を瞬間的に捉えた妖艶で可憐な世界観
0,増殖する？ 羊系男子の実態は？
1,あの有名漫画が無料で読める！　ニコニコ静画で少年ジャンプ作品の無料配信を開始
0,「持っている」彼女たちは、何を持っているのか？
2,【週末映画まとめ読み】観るのは「純愛」か？それとも「スパイアクション」か？
2,全世界63ヶ国で1位獲得『ワイルド・スピード MEGA MAX』が早くもブルーレイ＆DVDに
0,メンタルトレーニングで仕事力、そして恋愛力もアップ！？
0,男女間で“カワイイ”の基準が異なる理由
1,旧式Macで禁断のパワーアップ！最新PCやソフトを一挙にチェック【ITフラッシュバック】
2,食べて、呑んで、映画を観れる『東京ごはん映画祭』が今年も開催
2,第24回東京国際映画祭作品ガイド＜natural TIFF部門＞
2,『ニューイヤーズ・イブ』のワールドプレミアに豪華キャストが勢揃い
2,【編集部的映画批評】阿鼻叫喚の地獄に飛び込む勇気はあるか？キング・オブ・トラウマ映画  『ムカデ人間2』
2,セクシー女優Rioが映画初主演、『愛』や『性』を通して赤裸々に描かれる生き様
0,40代で考える、男女の友情
2,映画『ベルセルク』、スフィアから豊崎＆寿の出演が決定
2,全長500メートルの巨神と戦う、ド迫力の無料オンラインゲーム登場
0,「変わらないね」のひと言に感じるコト
2,イ・ビョンホンら『G.I.ジョー』キャストに会えるチャンス！豪華W特典付き前売り券が発売
0,実家の母さえいたら夫はいらない！？
0,新しい結婚の形？「事実婚」とは実際どんな制度なのか
1,NFCがバイクの鍵に？ COMPTEX TAIPEIで見つけた面白ガジェット【デジ通】
1,ふぉっくす紺子だよ！暑中お見舞いカードもらってくれてありがとー【紺子にゅうす】
1,手ぶらでタブレット！これぞ本当の自由を実現するモバイル活用アイテム登場
0,仕切り屋女子vs他力本願女子　それぞれの憂鬱
2,高所恐怖症のサム・ワーシントン、地上60mの“崖っぷち”で恐怖体験
1,24日はアキバへGo！Ultrabooker.jp専用ブースでオリジナルグッズを当てよう
1,いい大人が癒やされたくなった！ スマートペット育成記 （1）【デジ通】
0,くさったよめがあらわれた！vol.01「秋の夜長の妄想三昧」 presented by ゆるっとcafe
1,七夕の願いは済んだ？　短冊に書かれたユニークな願いが話題に
1,ThinkPadのACアダプタはどうなる 太いコネクタが薄型化のネックに【デジ通】
1,英語で地理が勉強できる！世界クイズアプリ！【iPhoneでチャンスを掴め】
2,“素敵なパパタレント”井戸田「思っていることをちゃんと伝えるのが大事」
1,その圧倒的な画面の美しさ！新しいiPadは絶対買い 【デジ通】
1,残暑見舞い挨拶の簡単挿入や書式の再利用　文書をカッコ良く効率的に作るWordの小技集【知っ得！虎の巻】
0,女医が教えるオンナの体のウソホント vol.11「女性器なんてみんな違って当然！」presented by ゆるっとcafe
1,関西KDDI強し！2ヶ月連続で純増No.1に続く、さらなる一手
1,ファイル整理に役立つ！　カメラの情報表示【知っ得！虎の巻】
0,独女世代が共感「最後から二番目の恋」で描かれる「大人の孤独」
1,「隠れSATAポート」を活用！eSATAによる外付けに挑戦 - 続インテル SSD 520をMacに装着 (上)【デジ通】
1,国内向けスマホではアップデートが提供されない端末も！ Android端末選択指南【デジ通】
1,世界を選んだ写真家たち！RING CUBE写真展「OVERSEAS 2012」を開催
2,『ハリー・ポッター』からの卒業。エマ・ワトソンがセクシーダンスを披露する新作予告が公開
1,スレートPCとスピーカーをセットで！「feel Windows」オープン記念第三段！
0,奇跡の花が販売再開、青いバラの伝説とは？
