label,sentence
2,今野が明かすアジアカップ初戦の夜 「団結させたのは間違いなく長谷部」
2,「長谷部放出」は誤訳？　ライターが指摘
1,既婚の男友達とどうつきあうか？
1,独創的で革新的な個性、“自分らしい1台”でトータルコーディネート【新生活特集】
0,オリジナルのままじゃつまらない！　ひと手間加えてTumblrのデザインを変更する【知っ得！虎の巻】
2,【Sports Watch】元代表選手が討論、日韓戦勝利のポイントとは？
0,Ultrabookに強力なライバル！女性がラクに持ち運べる、エイサーのノートPCが凄い
1,インタビュー：エッセイスト・上原愛加さん「甘い物と幸せがなくては、生きて行けません（笑）」
1,「PCがウイルスに感染。ごまかせる？」 - 辛口説教部屋 vol.49
1,クルマ色話 vol.1【ベンツCLS】 コレは斎藤佑樹クンが乗らないとダメでしょ!?
2,【Sports Watch】J復帰の稲本語る“日本とヨーロッパサッカーの違い”
1,新種の母娘世代！バブル母さんとその娘たち
1,−31キロを実現したダイエット法／美肌を作る30秒マッサージなど−【ビューティー】週間ランキング
1,大好きな彼に、世界中で愛されるチョコレートを
1,iPhone/iPodユーザー必見！思い出のクリスマスソングをツイートしてヤマハ製品をGET！
1,人気インストラクターに訊く ゴルフ〜はじめの一歩 ＜練習編＞
1,甘〜いハチミツの香りに包まれて、クリスマスまでにしっとり肌GET！
1,もし身近な男性がタイガーマスクだったら？
1,【終了しました】映画『パラダイス・キス』DVD発売を記念して「向井理＆北川景子直筆サイン入りプレスシート」を1名様にプレゼント
2,【Sports Watch】代表監督不在に、ラモス「やりたいですよ。それは間違いない」
1,梅村ゆずの結婚どころじゃないんですっ！vol.4「独身女の厄年」　Presented by ゆるっとcafe
1,″オペラ鑑賞プラン″でお姫様気分。ANA インターコンチネンタルホテル東京
1,【オトナ女子映画部】女性をいじめ続けてきた監督が優しさに目覚めた 『メランコリア』
1,”映画×旅行”の新コンテンツ「恋する旅映画100選」がオープン
0,今日は、そういう日だったのか！Googleロゴが馬の写真である理由
1,頑張れないガールのための「ごまかし美脚コーデ術」／夏の美脚特集
0,我が家の電波状況も良くなるかな？孫社長 格言的な言葉が話題
1,吉川ひなの＆マリエらによるレプロ・ハピチャリ・プロジェクト
0,面白い生放送がわかる新機能　ニコ生の「ルーキーランキング」と「Tweetまとめ」を試した
0,旧マシンを二台のSSDで超加速！　超寿命高速SSDとRAIDカードでシステムを爆速化
2,【Sports Watch】片岡安祐美のハプニング“ノーブラで練習に行ってた”
2,【Sports Watch】岡田監督の進退伺発言、その深い意味とは？
0,復興支援ありがとう！孫社長 復興支援の協力に賞賛の声
1,【オトナ女子のリアルな悩み】元彼が忘れられません。彼以上の幸せの形はありますか？
0,不便なブックマークよさよなら！　俺はライフリストでブクマを管理するぜ！【PC快適術】
2,【Sports Watch】安藤美姫に災難再び、変顔写真に批判の声
1,仕切り屋女子vs他力本願女子　それぞれの憂鬱
1,親が倒れた時、独女は何ができるのか？
1,友達同士、家族で楽しめる！　ほっこり＆あったかムービー
1,ココロとカラダを美しくする秘訣？　SHIHOによるヨガレッスンスペシャルな1時間
1,"話題の3Dビデオカメラ、15,000円の大型キャッシュバックキャンペーンを実施中"
1,機械式時計のエントリー機にオススメ、「ハミルトン」を語る【執筆：広田雅将】
1,恋愛に味方する！冬の星座の話
2,【Sports Watch】プロレスのオールスター戦開催も、猪木は呼ばれず激怒
1,１回限りの関係で終わってしまう女
1,【Office Scope vol.04】木のぬくもりを最大限に活かした「癒し」のくつろぎオフィス（株式会社たき工房 芝浦オフィス）
1,遊び人ほどＨが残念なのは本当か？
2,「11点取れってことか」斎藤佑樹の開幕投手指名に驚きの声
0,タブレットより断然快適！一度使ったらやめられないUltrabookとDropbox【新スタイル活用術】
1,インタビュー：植松晃士さん「ジタバタしないと、人よりキレイとは言われない」
1,摩擦軽減モーター付きの「Ｔ字カミソリ」…剃り心地は？
0,ついに発売日が決定！有機ELスマートフォン「DELL Streak Pro 101DL」が凄い
1,東京23区女ひとり風呂vol.08「杉並区・超爽快！全裸プール」presented byゆるっとcafe
2,【Sports Watch】なでしこ熊谷が代表批判？合コン相手がツイッターで暴露
1,どこまで平気？すっぴんOKの境界線を探る
1,夏までにセルライトを撃退／男を虜にするプルプルな●●の作り方など−【ビューティー】週間ランキング
1,【終了しました】600万個突破！「クレンジングリサーチ　ソープ＆ソープｂ」をセットで20名様にプレゼント
0,ペットロボットの状態は？　これからどうなる？ 不定期連載スマートペット育成記【デジ通】
0,ネットサービスの解約問題からLinuxでのクラウド使いこなしまで一気読み【デジ通】
2,女子バレー・眞鍋監督 「女性の集団は疲れます」
0,テレビ録画もガラパゴス化 日本にしか無いテレビ録画機市場【デジ通】
0,SOHOや小規模事業所に最適、NETGEAR 16ポートギガビットスマートスイッチの試用企業を募集
1,女子力低めでもなぜかモテる“WEBメディア女子”の実態とは!?
1,経験を補うのは“熱意” 未経験者のココを買う！-人事担当者がこっそり教える採用ウラ話 vol.8
1,【終了しました】夏の紫外線からカラーリングした髪をケアする「カラーコンサーブ デイリー カラー プロテクト」を3名様にプレゼント！
1,年収1000万円のビジネスパーソンに聞いた「子供を進学させたい大学ランキング ベスト20」 - 年収1000万円研究所 vol.14
1,【独女通信編集部】2011年記事まとめ　vol.2
1,独女の母たちの叫び
0,Googleロゴが往年の料理研究家に！　本日のGoogleロゴは有名な料理研究家の生誕100周年記念
2,【Sports Watch】ヴェルディ財政難に、ラモスが悲痛の訴え
0,オーバークロックを推奨するマザー！ MSI製“超品質”マザーボード「Z77 MPower」登場
1,ゴルフに夢中な男子諸君、女子にモテたいならコレを読め　【ゴルフコラム vol.3】
1,くさったよめがあらわれた！vol.10「むせかえる暑さにご立腹な女子のみなさまへ」presented by ゆるっとcafe
1,取り寄せる？ 食べに行く？ ユニークご当地アイスめぐり
1,「清潔感のある女」ってどんな女？
1,年末年始はハマる海外ドラマで冬ごもり
2,ソフトバンクのファン感謝祭に″あり得ない″の声
0,B-CASカードの解析完了！有料放送見放題の仕組みが判明！
2,【Sports Watch】武田が監督志願、紳助は番組内でJ2オーナーに異例の呼びかけ
1,【終了しました】今度は髪のダメージレベルに合わせて選ぶ「大島椿ヘアケアセット」を6名様にプレゼント
2,ゴン中山＆長谷部、2012年に掲げた意外な目標とは？
1,肉食女子は要チェック！最強の“安心・安全”ロハスなビーフ
1,最新技術＝ウルビルド4Dで夏場のプレーも快適に！【ゴルフ特集】
1,【終了しました】美の秘訣は“カタツムリ”！「ミシャ　アクア　ＳＮ　クリーム」を5名様にプレゼント
2,日本代表が痛恨の敗戦、宮市不出場に「何のための召集か」
0,こんこん、ふぉっくす紺子です！MMD動画、配信中です【紺子にゅうす】
2,長友、チームメートのサラテから″無視″された？
2,「僕らの年代では一番うまい」 中田英が絶賛する日本人選手の現在とは・・・
1,ブックマークしたページの管理方法 - 転職活動に役立つ！ソーシャルメディア活用術 vol.8
1,美しい40代がニッポンをアゲる！　国民的“美魔女”コンテスト開催
2,【Sports Watch】高橋尚 “（カットは）ピッチャーだけで9人。明日は我が身”
0,御苦労さま！そしてありがとう！　スペースシャトル・ディスカバリー号、最後の飛行
1,増え続ける最大級規模のアウトレットモール、独女が楽しむコツは？
1,“恋カツ”メニューで、ラブラブ冬デートはいかが？
1,R.NEWBOLDのオリジナルショップが期間限定オープン！
2,【Sports Watch】ゴール後のパフォーマンスで話題の日本代表・槙野、新ネタ明かす
1,仲間由紀恵″部長″が、忙しい女子をもっとキレイにする「ナノケア」新製品を紹介
1,ほしのあきの美脚＆ヒップアップの秘訣
1,【独女的コミックレビュー】vol.6 『姉の結婚』に見る“枯れ気味女”の憂鬱
1,男の人の結婚指輪ってチェックする？
1,新生活にインテリアを一新、イケア流トータルコーディネート術とは？【新生活特集】
1,LINEにも登場！資生堂「ワタシプラス」でスキンケアサンプルをプレゼント
1,インタビュー：国生さゆり「私は、まだまだ女の初心者」
1,独女でいると貧困に！
1,働き女子代表Happy OLの女子会で話題になった“モノ”
2,″ご立腹″の松木氏、関塚監督の采配について苦言呈す
2,【Sports Watch】グランパス主力メンバー、ストイコビッチ監督を絶賛
0,使い方で選べるスマホをラインナップ！ドコモ 2012年夏モデル20機種を発表
1,【終了しました】チューンメーカーズ「かたつむりエキス」を3名様にプレゼント
1,女の疲れを癒す温泉事情
1,「大学生の彼女が仕事への理解がなくて困っています」 - 辛口説教部屋 vol.39
2,【Sports Watch】新大関・把瑠都、突っ張り開眼も「申し訳ない」
0,iPadでオリンピックを見よう！地デジを無線化して、どこでもテレビだ
2,【Sports Watch】三浦皇成、ほしのあきとの交際認める
2,錦織圭快挙も、松岡修造氏は「正直言います……」
1,独女的映画レビュー vol.14　『私がクマにキレた理由（ワケ）』
1,ゴディバの新商品 “ゴディバ ジェムズ”で本格チョコがより身近に
1,燃える、錆びない！スパイスで無敵の女
0,Ultrabook最大の弱点を裏技で克服！会社や自宅で最強PC環境を作ろう
2,【Sports Watch】3月29日開幕にこだわった巨人、2つの誤算とは？
2,ロンドンを目指す女神たち〜“第二の潮田玲子”松友美佐紀（バドミントン）
1,あなたが同性から嫌われる理由
1,超危険な日傘で注意したいNG行為／父親の愛を感じた体験談など−【ライフスタイル】週間ランキング
0,目的のキーワードへ素早くジャンプできるChrome拡張機能【知っ得！虎の巻】
0,Time-Lapse（微速度）撮影ができるカメラ！ COMPTEX TAIPEIで見つけたオモシロガジェット【デジ通】
0,手ぶらでタブレット！これぞ本当の自由を実現するモバイル活用アイテム登場
1,五感で味わうパワースポット！　ガンガラーの谷で“生命の神秘”を体感する
0,Androidユーザーの高いセキュリティ意識！「スマートフォン所有者のセキュリティ対策に関する実態調査」
1,【終了しました】岡田将生と榮倉奈々が初共演『アントキノイノチ』試写会に20組40名様をご招待
1,韓国の肌美人たちがハマる「韓方スパ」、毎日家でできるアイテムが多数登場！
1,あなたの見た目年齢を上げているのは“シミ”だった？　今こそ本気で美白対策！
1,【最新キャンギャル＆レースクイーン写真集 東京オートサロン2011】  vol.4 （58枚）
1,あなたのまつ毛は“貧毛”？　8週間20名のまつ毛育毛チャレンジ！
1,賃貸なのに分譲のように思い通りにできる？　いま話題の賃貸カスタマイズサービスとは
2,【Sports Watch】亀田大-坂田決定、“負けたら坊主”に「私がなります」
1,地上100mの幻想的な夜景に酔いしれるクリスマスディナー
1,ナマ足を武器に変えるには？　今すぐできる！ 脚美人メソッド
0,3姉妹の成長を瞬間的に捉えた妖艶で可憐な世界観
1,ダメな男を好きになってしまう…「だめ彼 診断」で恋愛タイプ判定
1,【終了しました】JAL客室乗務員の美と健康の秘訣を公開。『日本航空客室乗務員の「美ストレッチ」』を3名様にプレゼント
0,普及の実感が薄い海外での3DS ゲーム用SNSで魅力を生かせるか?【デジ通】
1,NY名物イベントが日本でも！名店グルメを気軽に楽しむ
1,向井理さんの「今の時間帯だと言えない」ヒミツ
